# Retroactive issue-label mapping for the Type x Area + meta taxonomy.
# Columns: number <TAB> type <TAB> areas(csv) <TAB> meta(csv) <TAB> note
# type: exactly one of research-question|experiment|eda|infrastructure|bug  (empty = legacy area-hub/stub, area-only)
# areas: 0+ of evals,data,modeling,baselines,hyperparameter-optimization,interpretation
# meta: agent-generated,marin  (preserved as already set; never auto-added to old human issues)
# NOTE: modeling = PRETRAINING recipe ONLY (architecture/objective/tokenization/context/loss).
#       VEP / scoring / eval-performance => evals.  region & enhancer data choices => data.
#       enhancer-classifier / segmentation / whole-genome-prediction = data-curation tooling => data (+infra).
# FLAG: = a judgment call worth your eyes. RE-TYPE = changed Type vs current label.
#
# number	type	areas	meta	note
269	infrastructure	evals	agent-generated	cLLR 2/4 4-allele scoring atom
270	infrastructure	evals	agent-generated	cLLR 3/4 score neutral sites -> calibration
271	infrastructure	evals	agent-generated	cLLR 4/4 apply calibration -> leaderboard columns
273	infrastructure		agent-generated	checkpoint inventory (ops)
274	eda	evals,hyperparameter-optimization	agent-generated	does LL gap predict VEP across the scaling ladder (VEP perf = evals; scale = HPO)
279	eda	evals,hyperparameter-optimization	agent-generated	RE-TYPE research-question->eda: missense VEP degrades with scale (evals + HPO)
282	bug	evals	agent-generated,marin	FLAG: preemption drops paired eval/export (dropped infra Type; kept bug)
283	research-question	data,evals	agent-generated	FLAG(areas): why distal/enhancer VEP doesn't improve — kept research-question (open, spawns exps)
284	experiment	data	agent-generated	FLAG: epoch reshuffling / slice-mix = data ordering (not pretraining recipe)
286	infrastructure	interpretation		"TF-MoDISco" stub — interp method to build
287	research-question	modeling		north-star: does species/clade conditioning help (conditioning = recipe)
288	infrastructure	interpretation		"Sparse autoencoders" stub — interp method to build
289	infrastructure	evals	agent-generated	was `enhancement`; build evals_sge dataset
290	infrastructure	evals	agent-generated	was `enhancement`; build evals_prime_editing dataset
292	infrastructure	evals	agent-generated	wire evals_sge into evals_v2 + metrics
293	infrastructure	evals	agent-generated	build evals_dart_task3 dataset
296	eda	evals	agent-generated	RE-TYPE experiment->eda: does stratified LL-gap predict missense VEP (VEP perf = evals)
297	infrastructure	evals	agent-generated	evals_sge dataset issues to fix on rebuild
298	eda	interpretation	agent-generated	FLAG: DART task3 cell-type UMAP, 255 vs 500 bp context
301	infrastructure	evals,baselines	agent-generated	formalize SGE benchmark (3 gLMs + conservation baselines)
302	eda	evals,hyperparameter-optimization	agent-generated	missense VEP error-pattern analysis across scale/training (VEP = evals)
303	experiment	hyperparameter-optimization	agent-generated	weight-decay sweep on CDS specialist
306	eda	evals,hyperparameter-optimization	agent-generated	scaling ladder on SGE: AUPRC vs size (VEP perf = evals; scale = HPO)
309	infrastructure	evals	agent-generated	build official accessibility-QTL benchmark (parent of 310-312)
310	infrastructure	evals	agent-generated	qtl-benchmark dataset pipeline
311	infrastructure	evals	agent-generated	qtl-benchmark scoring + official-metrics
312	infrastructure	evals	agent-generated	qtl-benchmark dashboard/leaderboard
314	experiment	evals	agent-generated	linear-probe VEP protocol (scoring = evals, not modeling)
318	infrastructure	evals	agent-generated	pooled both-allele embeddings score bundle in evals_v2
319	infrastructure	evals	agent-generated	per-chromosome-weighted AUPRC metric
320	infrastructure	evals	agent-generated	nested-LOCO probe-training + transfer protocol
321	infrastructure	evals	agent-generated	productionize the linear-probe VEP protocol
323	infrastructure		agent-generated	mypy + snakefmt CI gate
326	experiment	data	agent-generated	exp326 curated enhancer data arm (VEP = measurement, not evals)
328	infrastructure		agent-generated,marin	marin PyPI migration breaks iris launches
332	infrastructure		agent-generated	trim main to reusable core
341	eda	evals,hyperparameter-optimization	agent-generated	scaling ladder (HPO) + probe-vs-zeroshot scoring (evals)
